"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Aug 02 12:03:36 ART 2024","Fri Aug 02 12:04:08 ART 2024","31468","","","","","","Validación de la pantalla ""Entregar pedidos"" en el sector ""Entregados"" -- @1.3 ",""
"passed","Fri Aug 02 12:06:56 ART 2024","Fri Aug 02 12:08:05 ART 2024","69390","","","","","","Validacion de vuelta 1 iniciada",""
"passed","Fri Aug 02 12:35:14 ART 2024","Fri Aug 02 12:37:13 ART 2024","119036","","","","","","Validacion del contenido de la factura -- @1.3 ",""
"passed","Fri Aug 02 12:42:06 ART 2024","Fri Aug 02 12:43:05 ART 2024","58564","","","","","","Valido la seccion de metodo de pago desde la factura -- @1.3 ",""
"broken","Fri Aug 02 12:17:42 ART 2024","Fri Aug 02 12:19:01 ART 2024","79113","","","","","","Validacion de la ruta -- @1.4 ",""
"passed","Fri Aug 02 12:43:05 ART 2024","Fri Aug 02 12:44:05 ART 2024","60339","","","","","","Valido la seccion de metodo de pago ""Transferencia""",""
"broken","Fri Aug 02 12:11:03 ART 2024","Fri Aug 02 12:11:49 ART 2024","45897","","","","","","Reseteo la aplicacion luesgo de eliminar la cuenta",""
"broken","Fri Aug 02 12:04:08 ART 2024","Fri Aug 02 12:05:04 ART 2024","55816","","","","","","Valido la entrega de un pedido",""
"passed","Fri Aug 02 12:45:06 ART 2024","Fri Aug 02 12:46:17 ART 2024","71493","","","","","","Valido la seccion de metodo de pago ""Con mas de un metodo de pago""",""
"broken","Fri Aug 02 12:16:23 ART 2024","Fri Aug 02 12:17:42 ART 2024","78848","","","","","","Validacion de la ruta -- @1.3 ",""
"passed","Fri Aug 02 12:25:41 ART 2024","Fri Aug 02 12:27:06 ART 2024","85466","","","","","","Validacion de opcion ""Retornados""",""
"passed","Fri Aug 02 12:49:09 ART 2024","Fri Aug 02 12:50:05 ART 2024","55657","","","","","","valido que el local está abierto",""
"broken","Fri Aug 02 12:13:47 ART 2024","Fri Aug 02 12:15:05 ART 2024","78081","","","","","","Validacion de la ruta -- @1.1 ",""
"passed","Fri Aug 02 11:55:11 ART 2024","Fri Aug 02 11:56:15 ART 2024","64003","","","","","","Validación de pantalla de selección de motivo de anulación mediante busqueda de numero",""
"broken","Fri Aug 02 12:05:04 ART 2024","Fri Aug 02 12:05:35 ART 2024","31375","","","","","","Valido que un pedido entregado este en el sector ""Entregados""",""
"broken","Fri Aug 02 11:45:17 ART 2024","Fri Aug 02 11:45:19 ART 2024","1350","","","","","","Valido las zonas de accion de la pantalla de confirmar entrega de factura N 404145531",""
"broken","Fri Aug 02 11:59:02 ART 2024","Fri Aug 02 11:59:41 ART 2024","39188","","","","","","Validacion del texto ""Entregada""",""
"passed","Fri Aug 02 12:37:13 ART 2024","Fri Aug 02 12:38:10 ART 2024","57545","","","","","","Anular pedido de la factura",""
"passed","Fri Aug 02 11:58:42 ART 2024","Fri Aug 02 11:59:00 ART 2024","18268","","","","","","Validación del texto de la fecha de ruta",""
"passed","Fri Aug 02 12:27:06 ART 2024","Fri Aug 02 12:28:06 ART 2024","60118","","","","","","Rebajar precio de un producto y seleccionar motivo de anulacion en la factura",""
"passed","Fri Aug 02 12:01:06 ART 2024","Fri Aug 02 12:01:38 ART 2024","32133","","","","","","Validación de pantalla ""Retornados""",""
"broken","Fri Aug 02 11:41:20 ART 2024","Fri Aug 02 11:41:53 ART 2024","33316","","","","","","Valido las zonas de accion de la pantalla del menu lateral",""
"passed","Fri Aug 02 11:56:15 ART 2024","Fri Aug 02 11:57:17 ART 2024","62555","","","","","","Validación de pantalla de selección de motivo de anulación mediante busqueda de texto",""
"passed","Fri Aug 02 12:47:17 ART 2024","Fri Aug 02 12:48:13 ART 2024","56131","","","","","","Valido el numero de telefono del local",""
"passed","Fri Aug 02 12:48:13 ART 2024","Fri Aug 02 12:49:09 ART 2024","56366","","","","","","valido el horario del cierre del local",""
"broken","Fri Aug 02 11:57:17 ART 2024","Fri Aug 02 11:58:42 ART 2024","84602","","","","","","Validación de la pantalla ""Vuelta finalizada""",""
"passed","Fri Aug 02 12:05:52 ART 2024","Fri Aug 02 12:06:06 ART 2024","14468","","","","","","Validacion de error por falta de correo",""
"broken","Fri Aug 02 11:44:43 ART 2024","Fri Aug 02 11:45:17 ART 2024","34420","","","","","","Valido las zonas de accion de la pantalla del Pedido de la Factura N 404145531",""
"passed","Fri Aug 02 11:52:40 ART 2024","Fri Aug 02 11:53:41 ART 2024","60571","","","","","","Validación de retornar pedido de factura",""
"failed","Fri Aug 02 11:51:35 ART 2024","Fri Aug 02 11:52:40 ART 2024","64986","","","","","","Validación del sector ""Retornados""",""
"passed","Fri Aug 02 12:31:10 ART 2024","Fri Aug 02 12:31:12 ART 2024","1828","","","","","","Validacion de visualizacion de la cantidad de productos y el monto de transferencia",""
"broken","Fri Aug 02 12:03:05 ART 2024","Fri Aug 02 12:03:36 ART 2024","31346","","","","","","Validación de la pantalla ""Entregar pedidos"" en el sector ""Entregados"" -- @1.2 ",""
"passed","Fri Aug 02 11:50:36 ART 2024","Fri Aug 02 11:51:35 ART 2024","59181","","","","","","Validación de pantalla de selección de motivo de anulación",""
"passed","Fri Aug 02 11:40:39 ART 2024","Fri Aug 02 11:40:43 ART 2024","4321","","","","","","Valido las zonas de accion de la pantalla de la pantalla de inicio de sesion",""
"broken","Fri Aug 02 12:06:49 ART 2024","Fri Aug 02 12:06:56 ART 2024","6753","","","","","","Validacion de pantalla de transporte",""
"passed","Fri Aug 02 12:09:21 ART 2024","Fri Aug 02 12:09:27 ART 2024","6004","","","","","","Validacion de cerrar sesion exitosamente",""
"broken","Fri Aug 02 12:06:25 ART 2024","Fri Aug 02 12:06:38 ART 2024","13610","","","","","","Validacion de error de caracteres especiales",""
"broken","Fri Aug 02 12:22:31 ART 2024","Fri Aug 02 12:22:48 ART 2024","17036","","","","","","Validacion del desplegable ""Ordenar por"" -- @1.3 ",""
"broken","Fri Aug 02 11:45:19 ART 2024","Fri Aug 02 11:46:05 ART 2024","46645","","","","","","Valido las zonas de accion del desplegable ""Ordenar por""",""
"passed","Fri Aug 02 12:33:12 ART 2024","Fri Aug 02 12:35:14 ART 2024","121089","","","","","","Validacion del contenido de la factura -- @1.2 ",""
"broken","Fri Aug 02 11:41:53 ART 2024","Fri Aug 02 11:42:25 ART 2024","31817","","","","","","Valido las zonas de accion de la pantalla de Términos y condiciones",""
"passed","Fri Aug 02 12:31:14 ART 2024","Fri Aug 02 12:33:12 ART 2024","118886","","","","","","Validacion del contenido de la factura -- @1.1 ",""
"broken","Fri Aug 02 12:12:08 ART 2024","Fri Aug 02 12:13:47 ART 2024","98883","","","","","","Validacion del boton ""Comenzar ruta""",""
"broken","Fri Aug 02 12:21:06 ART 2024","Fri Aug 02 12:22:31 ART 2024","85076","","","","","","Validacion del desplegable ""Ordenar por"" -- @1.2 ",""
"broken","Fri Aug 02 11:53:41 ART 2024","Fri Aug 02 11:55:11 ART 2024","90013","","","","","","Validación de la pantalla de retomar pedidos",""
"passed","Fri Aug 02 12:19:01 ART 2024","Fri Aug 02 12:19:40 ART 2024","39081","","","","","","Validacion de seleccion de ruta",""
"broken","Fri Aug 02 12:08:05 ART 2024","Fri Aug 02 12:09:21 ART 2024","76127","","","","","","Validacion de Vuelta 1",""
"passed","Fri Aug 02 12:24:14 ART 2024","Fri Aug 02 12:25:41 ART 2024","87081","","","","","","Validacion de opcion ""Entregados""",""
"passed","Fri Aug 02 11:59:41 ART 2024","Fri Aug 02 12:01:06 ART 2024","85132","","","","","","Validación de pantalla ""Entregados""",""
"passed","Fri Aug 02 12:30:14 ART 2024","Fri Aug 02 12:31:10 ART 2024","56375","","","","","","Validacion de visualizacion de ruta de pedido",""
"broken","Fri Aug 02 12:01:38 ART 2024","Fri Aug 02 12:02:34 ART 2024","55500","","","","","","Validación de la pantalla ""Entregar pedidos"" en el sector ""Retornados""",""
"passed","Fri Aug 02 12:40:09 ART 2024","Fri Aug 02 12:41:08 ART 2024","59153","","","","","","Valido la seccion de metodo de pago desde la factura -- @1.1 ",""
"passed","Fri Aug 02 12:28:06 ART 2024","Fri Aug 02 12:30:14 ART 2024","127495","","","","","","Validacion de pantalla de seleccion de motivo de rebaja",""
"broken","Fri Aug 02 12:02:34 ART 2024","Fri Aug 02 12:03:05 ART 2024","31399","","","","","","Validación de la pantalla ""Entregar pedidos"" en el sector ""Entregados"" -- @1.1 ",""
"broken","Fri Aug 02 11:46:05 ART 2024","Fri Aug 02 11:47:29 ART 2024","83884","","","","","","Valido las zonas de accion de los botones de la seccion Cuadratura",""
